# time  created  delivered  delivered/created
3601.0000 1 0 0.0000
3602.0000 2 0 0.0000
3602.0000 2 1 0.5000
3603.0000 3 1 0.3333
3604.0000 4 1 0.2500
3605.0000 5 1 0.2000
3605.0000 5 2 0.4000
3606.0000 6 2 0.3333
3606.0000 6 3 0.5000
3607.0000 7 3 0.4286
3608.0000 8 3 0.3750
3608.0000 8 4 0.5000
3609.0000 9 4 0.4444
3609.0000 9 5 0.5556
3610.0000 10 5 0.5000
3610.0000 10 6 0.6000
3611.0000 11 6 0.5455
3611.0000 11 7 0.6364
3612.0000 12 7 0.5833
3612.0000 12 8 0.6667
3613.0000 13 8 0.6154
3613.0000 13 9 0.6923
3614.0000 14 9 0.6429
3615.0000 15 9 0.6000
3616.0000 16 9 0.5625
3616.0000 16 10 0.6250
3617.0000 17 10 0.5882
3618.0000 18 10 0.5556
3619.0000 19 10 0.5263
3620.0000 20 10 0.5000
3621.0000 21 10 0.4762
3622.0000 22 10 0.4545
3623.0000 23 10 0.4348
3623.0000 23 11 0.4783
3624.0000 24 11 0.4583
3624.0000 24 12 0.5000
3625.0000 25 12 0.4800
3626.0000 26 12 0.4615
3626.0000 26 13 0.5000
3627.0000 27 13 0.4815
3627.0000 27 14 0.5185
3628.0000 28 14 0.5000
3628.0000 28 15 0.5357
3629.0000 29 15 0.5172
3629.0000 29 16 0.5517
3630.0000 30 16 0.5333
3631.0000 31 16 0.5161
3631.0000 31 17 0.5484
3632.0000 32 17 0.5313
3633.0000 33 17 0.5152
3634.0000 34 17 0.5000
3635.0000 35 17 0.4857
3636.0000 36 17 0.4722
3637.0000 37 17 0.4595
3637.0000 37 18 0.4865
3638.0000 38 18 0.4737
3638.0000 38 19 0.5000
3639.0000 39 19 0.4872
3639.0000 39 20 0.5128
3640.0000 40 20 0.5000
3641.0000 41 20 0.4878
3642.0000 42 20 0.4762
3642.0000 42 21 0.5000
3643.0000 43 21 0.4884
3643.0000 43 22 0.5116
3644.0000 44 22 0.5000
3645.0000 45 22 0.4889
3646.0000 46 22 0.4783
3647.0000 47 22 0.4681
3647.0000 47 23 0.4894
3648.0000 48 23 0.4792
3649.0000 49 23 0.4694
3649.0000 49 24 0.4898
3650.0000 50 24 0.4800
3650.0000 50 25 0.5000
3651.0000 51 25 0.4902
3651.0000 51 26 0.5098
3652.0000 52 26 0.5000
3653.0000 53 26 0.4906
3654.0000 54 26 0.4815
3654.0000 54 27 0.5000
3655.0000 55 27 0.4909
3655.0000 55 28 0.5091
3656.0000 56 28 0.5000
3657.0000 57 28 0.4912
3657.0000 57 29 0.5088
3658.0000 58 29 0.5000
3658.0000 58 30 0.5172
3659.0000 59 30 0.5085
3659.0000 59 31 0.5254
3660.0000 60 31 0.5167
