# time  created  delivered  delivered/created
3601.0000 1 0 0.0000
3602.0000 2 0 0.0000
3602.0000 2 1 0.5000
3603.0000 3 1 0.3333
3604.0000 4 1 0.2500
3605.0000 5 1 0.2000
3605.0000 5 2 0.4000
3606.0000 6 2 0.3333
3606.0000 6 3 0.5000
3607.0000 7 3 0.4286
3608.0000 8 3 0.3750
3608.0000 8 4 0.5000
3609.0000 9 4 0.4444
3609.0000 9 5 0.5556
3610.0000 10 5 0.5000
3610.0000 10 6 0.6000
3611.0000 11 6 0.5455
3611.0000 11 7 0.6364
3612.0000 12 7 0.5833
3612.0000 12 8 0.6667
3613.0000 13 8 0.6154
3613.0000 13 9 0.6923
3614.0000 14 9 0.6429
3615.0000 15 9 0.6000
3616.0000 16 9 0.5625
3616.0000 16 10 0.6250
3617.0000 17 10 0.5882
3618.0000 18 10 0.5556
3619.0000 19 10 0.5263
3620.0000 20 10 0.5000
3621.0000 21 10 0.4762
3622.0000 22 10 0.4545
3623.0000 23 10 0.4348
3623.0000 23 11 0.4783
3624.0000 24 11 0.4583
3624.0000 24 12 0.5000
3625.0000 25 12 0.4800
3625.0000 25 13 0.5200
3626.0000 26 13 0.5000
3626.0000 26 14 0.5385
3627.0000 27 14 0.5185
3627.0000 27 15 0.5556
3628.0000 28 15 0.5357
3628.0000 28 16 0.5714
3629.0000 29 16 0.5517
3630.0000 30 16 0.5333
3631.0000 31 16 0.5161
3631.0000 31 17 0.5484
3632.0000 32 17 0.5313
3632.0000 32 18 0.5625
3633.0000 33 18 0.5455
3634.0000 34 18 0.5294
3635.0000 35 18 0.5143
3636.0000 36 18 0.5000
3636.0000 36 19 0.5278
3637.0000 37 19 0.5135
3637.0000 37 20 0.5405
3638.0000 38 20 0.5263
3638.0000 38 21 0.5526
3639.0000 39 21 0.5385
3639.0000 39 22 0.5641
3640.0000 40 22 0.5500
3640.0000 40 23 0.5750
3641.0000 41 23 0.5610
3641.0000 41 24 0.5854
3642.0000 42 24 0.5714
3642.0000 42 25 0.5952
3643.0000 43 25 0.5814
3644.0000 44 25 0.5682
3644.0000 44 26 0.5909
3645.0000 45 26 0.5778
3646.0000 46 26 0.5652
3646.0000 46 27 0.5870
3647.0000 47 27 0.5745
3647.0000 47 28 0.5957
3648.0000 48 28 0.5833
3648.0000 48 29 0.6042
3649.0000 49 29 0.5918
3650.0000 50 29 0.5800
3650.0000 50 30 0.6000
3651.0000 51 30 0.5882
3652.0000 52 30 0.5769
3652.0000 52 31 0.5962
3653.0000 53 31 0.5849
3654.0000 54 31 0.5741
3654.0000 54 32 0.5926
3655.0000 55 32 0.5818
3655.0000 55 33 0.6000
3656.0000 56 33 0.5893
3656.0000 56 34 0.6071
3657.0000 57 34 0.5965
