# time  created  delivered  delivered/created
3601.0000 1 0 0.0000
3602.0000 2 0 0.0000
3603.0000 3 0 0.0000
3604.0000 4 0 0.0000
3604.0000 4 1 0.2500
3605.0000 5 1 0.2000
3605.0000 5 2 0.4000
3606.0000 6 2 0.3333
3606.0000 6 3 0.5000
3607.0000 7 3 0.4286
3607.0000 7 4 0.5714
3608.0000 8 4 0.5000
3608.0000 8 5 0.6250
3609.0000 9 5 0.5556
3609.0000 9 6 0.6667
3610.0000 10 6 0.6000
3610.0000 10 7 0.7000
3611.0000 11 7 0.6364
3612.0000 12 7 0.5833
3613.0000 13 7 0.5385
3613.0000 13 8 0.6154
3614.0000 14 8 0.5714
3615.0000 15 8 0.5333
3615.0000 15 9 0.6000
3616.0000 16 9 0.5625
3616.0000 16 10 0.6250
3617.0000 17 10 0.5882
3618.0000 18 10 0.5556
3619.0000 19 10 0.5263
3619.0000 19 11 0.5789
3620.0000 20 11 0.5500
3620.0000 20 12 0.6000
3621.0000 21 12 0.5714
3622.0000 22 12 0.5455
3622.0000 22 13 0.5909
3623.0000 23 13 0.5652
3624.0000 24 13 0.5417
3624.0000 24 14 0.5833
3625.0000 25 14 0.5600
3625.0000 25 15 0.6000
3626.0000 26 15 0.5769
3627.0000 27 15 0.5556
3627.0000 27 16 0.5926
3627.0000 27 17 0.6296
3628.0000 28 17 0.6071
3628.0000 28 18 0.6429
3629.0000 29 18 0.6207
3629.0000 29 19 0.6552
3630.0000 30 19 0.6333
3630.0000 30 20 0.6667
3631.0000 31 20 0.6452
3632.0000 32 20 0.6250
3632.0000 32 21 0.6563
3633.0000 33 21 0.6364
3634.0000 34 21 0.6176
3634.0000 34 22 0.6471
3635.0000 35 22 0.6286
3636.0000 36 22 0.6111
3636.0000 36 23 0.6389
3637.0000 37 23 0.6216
3638.0000 38 23 0.6053
3638.0000 38 24 0.6316
3639.0000 39 24 0.6154
3639.0000 39 25 0.6410
3640.0000 40 25 0.6250
3641.0000 41 25 0.6098
3641.0000 41 26 0.6341
3642.0000 42 26 0.6190
3643.0000 43 26 0.6047
3644.0000 44 26 0.5909
3644.0000 44 27 0.6136
3645.0000 45 27 0.6000
3645.0000 45 28 0.6222
3646.0000 46 28 0.6087
3646.0000 46 29 0.6304
3647.0000 47 29 0.6170
3647.0000 47 30 0.6383
3648.0000 48 30 0.6250
3649.0000 49 30 0.6122
3649.0000 49 31 0.6327
3650.0000 50 31 0.6200
3651.0000 51 31 0.6078
3652.0000 52 31 0.5962
3653.0000 53 31 0.5849
3654.0000 54 31 0.5741
3655.0000 55 31 0.5636
3655.0000 55 32 0.5818
3655.0000 55 33 0.6000
3656.0000 56 33 0.5893
3656.0000 56 34 0.6071
3657.0000 57 34 0.5965
