# time  created  delivered  delivered/created
3601.0000 1 0 0.0000
3602.0000 2 0 0.0000
3603.0000 3 0 0.0000
3604.0000 4 0 0.0000
3604.0000 4 1 0.2500
3605.0000 5 1 0.2000
3605.0000 5 2 0.4000
3606.0000 6 2 0.3333
3606.0000 6 3 0.5000
3607.0000 7 3 0.4286
3607.0000 7 4 0.5714
3608.0000 8 4 0.5000
3608.0000 8 5 0.6250
3609.0000 9 5 0.5556
3609.0000 9 6 0.6667
3610.0000 10 6 0.6000
3610.0000 10 7 0.7000
3611.0000 11 7 0.6364
3611.0000 11 8 0.7273
3612.0000 12 8 0.6667
3613.0000 13 8 0.6154
3613.0000 13 9 0.6923
3614.0000 14 9 0.6429
3615.0000 15 9 0.6000
3615.0000 15 10 0.6667
3616.0000 16 10 0.6250
3616.0000 16 11 0.6875
3617.0000 17 11 0.6471
3618.0000 18 11 0.6111
3618.0000 18 12 0.6667
3619.0000 19 12 0.6316
3620.0000 20 12 0.6000
3621.0000 21 12 0.5714
3621.0000 21 13 0.6190
3622.0000 22 13 0.5909
3622.0000 22 14 0.6364
3623.0000 23 14 0.6087
3623.0000 23 15 0.6522
3624.0000 24 15 0.6250
3624.0000 24 16 0.6667
3625.0000 25 16 0.6400
3626.0000 26 16 0.6154
3626.0000 26 17 0.6538
3627.0000 27 17 0.6296
3628.0000 28 17 0.6071
3629.0000 29 17 0.5862
3630.0000 30 17 0.5667
3630.0000 30 18 0.6000
3631.0000 31 18 0.5806
3631.0000 31 19 0.6129
3632.0000 32 19 0.5938
3632.0000 32 20 0.6250
3633.0000 33 20 0.6061
3633.0000 33 21 0.6364
3634.0000 34 21 0.6176
3634.0000 34 22 0.6471
3635.0000 35 22 0.6286
3636.0000 36 22 0.6111
3636.0000 36 23 0.6389
3637.0000 37 23 0.6216
3637.0000 37 24 0.6486
3638.0000 38 24 0.6316
3639.0000 39 24 0.6154
3640.0000 40 24 0.6000
3640.0000 40 25 0.6250
3641.0000 41 25 0.6098
3641.0000 41 26 0.6341
3642.0000 42 26 0.6190
3642.0000 42 27 0.6429
3642.0000 42 28 0.6667
3643.0000 43 28 0.6512
3643.0000 43 29 0.6744
3644.0000 44 29 0.6591
3644.0000 44 30 0.6818
3645.0000 45 30 0.6667
3645.0000 45 31 0.6889
3645.0000 45 32 0.7111
3646.0000 46 32 0.6957
3646.0000 46 33 0.7174
3647.0000 47 33 0.7021
3647.0000 47 34 0.7234
3648.0000 48 34 0.7083
3649.0000 49 34 0.6939
3650.0000 50 34 0.6800
3651.0000 51 34 0.6667
3652.0000 52 34 0.6538
3653.0000 53 34 0.6415
3653.0000 53 35 0.6604
3654.0000 54 35 0.6481
3655.0000 55 35 0.6364
3655.0000 55 36 0.6545
