# time  created  delivered  delivered/created
3601.0000 1 0 0.0000
3602.0000 2 0 0.0000
3603.0000 3 0 0.0000
3604.0000 4 0 0.0000
3604.0000 4 1 0.2500
3605.0000 5 1 0.2000
3605.0000 5 2 0.4000
3606.0000 6 2 0.3333
3606.0000 6 3 0.5000
3607.0000 7 3 0.4286
3607.0000 7 4 0.5714
3608.0000 8 4 0.5000
3608.0000 8 5 0.6250
3609.0000 9 5 0.5556
3609.0000 9 6 0.6667
3610.0000 10 6 0.6000
3610.0000 10 7 0.7000
3611.0000 11 7 0.6364
3611.0000 11 8 0.7273
3612.0000 12 8 0.6667
3613.0000 13 8 0.6154
3613.0000 13 9 0.6923
3614.0000 14 9 0.6429
3615.0000 15 9 0.6000
3615.0000 15 10 0.6667
3616.0000 16 10 0.6250
3616.0000 16 11 0.6875
3617.0000 17 11 0.6471
3617.0000 17 12 0.7059
3618.0000 18 12 0.6667
3618.0000 18 13 0.7222
3619.0000 19 13 0.6842
3619.0000 19 14 0.7368
3620.0000 20 14 0.7000
3621.0000 21 14 0.6667
3621.0000 21 15 0.7143
3622.0000 22 15 0.6818
3622.0000 22 16 0.7273
3623.0000 23 16 0.6957
3624.0000 24 16 0.6667
3624.0000 24 17 0.7083
3625.0000 25 17 0.6800
3625.0000 25 18 0.7200
3626.0000 26 18 0.6923
3627.0000 27 18 0.6667
3627.0000 27 19 0.7037
3628.0000 28 19 0.6786
3628.0000 28 20 0.7143
3629.0000 29 20 0.6897
3629.0000 29 21 0.7241
3630.0000 30 21 0.7000
3631.0000 31 21 0.6774
3631.0000 31 22 0.7097
3632.0000 32 22 0.6875
3632.0000 32 23 0.7188
3633.0000 33 23 0.6970
3633.0000 33 24 0.7273
3634.0000 34 24 0.7059
3634.0000 34 25 0.7353
3635.0000 35 25 0.7143
3635.0000 35 26 0.7429
3636.0000 36 26 0.7222
3636.0000 36 27 0.7500
3637.0000 37 27 0.7297
3638.0000 38 27 0.7105
3638.0000 38 28 0.7368
3639.0000 39 28 0.7179
3639.0000 39 29 0.7436
3640.0000 40 29 0.7250
3640.0000 40 30 0.7500
3641.0000 41 30 0.7317
3641.0000 41 31 0.7561
3642.0000 42 31 0.7381
3642.0000 42 32 0.7619
3643.0000 43 32 0.7442
3644.0000 44 32 0.7273
3644.0000 44 33 0.7500
3645.0000 45 33 0.7333
3645.0000 45 34 0.7556
3646.0000 46 34 0.7391
3646.0000 46 35 0.7609
3647.0000 47 35 0.7447
3647.0000 47 36 0.7660
3648.0000 48 36 0.7500
3649.0000 49 36 0.7347
3650.0000 50 36 0.7200
3650.0000 50 37 0.7400
3651.0000 51 37 0.7255
3652.0000 52 37 0.7115
3652.0000 52 38 0.7308
3653.0000 53 38 0.7170
